NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
192;1,2;08/04/2014;4;1;14:03:03;14:19:28;2;18;1;1996;1;0;0;0;1;1;2;0;3;5;5;3;5;5;4;4;5;3;1;1;1;1;3;1;1;1;2;1
193;0,63;08/04/2014;4;1;14:20:27;14:41:16;1;30;3;1984;1;0;1;1;0;2;2;1;1;3;1;4;2;3;4;4;3;1;1;1;1;1;1;1;1;1;1;3
194;0,64;08/04/2014;4;1;14:13:23;14:53:34;1;48;4;1966;1;0;0;0;1;2;2;0;1;1;1;3;5;1;3;3;3;1;1;1;2;2;1;1;1;3;2;1
195;0,49;08/04/2014;4;1;14:37:45;15:00:48;2;34;3;1980;1;0;1;1;0;1;2;1;1;4;3;4;3;3;3;4;5;1;1;1;1;2;1;1;1;1;2;2
196;0,88;08/04/2014;4;1;14:38:00;15:10:55;1;16;1;1998;1;0;1;1;0;2;2;1;1;3;5;4;2;5;5;4;4;2;1;1;2;1;2;1;1;1;1;1
197;0,89;08/04/2014;4;1;14:44:18;15:12:01;1;27;3;1987;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;4;4;1;2;2;2;2;2;2;2;1;1
198;0,51;08/04/2014;4;1;14:44:15;15:18:23;1;26;3;1988;0;0;0;0;0;2;2;0;5;5;3;4;5;5;5;5;3;5;;;;;;;;;;
199;0,94;08/04/2014;4;1;15:16:59;15:29:43;1;61;5;1953;1;0;0;1;0;2;1;1;5;3;5;2;5;5;5;5;3;5;1;1;2;1;1;1;2;2;1;2
202;0,7;08/04/2014;4;1;15:30:40;15:49:41;2;40;4;1974;1;0;1;1;1;1;2;0;1;2;3;5;3;1;5;4;5;4;1;1;1;1;1;1;2;1;2;1
204;0,49;08/04/2014;4;1;15:49:27;16:08:03;1;34;3;1980;1;0;1;1;0;1;2;1;1;2;1;1;4;4;1;4;4;1;1;1;1;1;2;1;1;2;1;1
205;5,25;08/04/2014;4;1;15:50:28;16:11:43;1;32;3;1982;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;3;1;5;1;2;2;2;2;2;2;2;1;1
206;1,22;08/04/2014;4;1;16:20:34;16:33:30;1;52;5;1962;0;0;0;0;0;2;2;0;3;5;5;5;5;5;5;5;5;5;;;;;;;;;;
207;3,47;08/04/2014;4;1;16:19:50;16:35:24;1;17;1;1997;1;0;1;1;0;2;2;1;1;5;5;5;5;5;4;4;3;5;1;1;2;3;3;1;1;1;1;2
208;0,56;08/04/2014;4;1;16:21:54;16:43:06;2;37;4;1977;1;0;1;1;0;1;2;1;1;3;1;1;3;1;3;3;3;5;1;1;1;1;1;1;1;1;1;1
209;3,12;08/04/2014;4;1;16:28:45;16:48:42;2;20;2;1994;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;4;1;1;2;2;2;2;1;2;2;1;1
